1, 7, 2, 18, -11, -3, -3, -1, 1, 49, 4, 324, 121, 9, 9, 1, 
-1, -4, -4, -19, -2, -3, 1, 0, 1, 16, 16, 361, 4, 9, 1, 0, 
-2, -5, 0, 17, 2, 2, -3, -3, 4, 25, 0, 289, 4, 4, 9, 9, 
1, 2, -1, -4, 0, -2, -2, -2, 1, 4, 1, 16, 0, 4, 4, 4, 
-2, -1, 1, -6, -10, -3, 1, 2, 4, 1, 1, 36, 100, 9, 1, 4, 
-3, -3, -5, -3, -2, 2, -2, -3, 9, 9, 25, 9, 4, 4, 4, 9, 
-2, -6, 2, 6, -4, -4, -3, -1, 4, 36, 4, 36, 16, 16, 9, 1, 
1, 6, -3, -4, -9, -1, -1, 0, 1, 36, 9, 16, 81, 1, 1, 0, 
-2, -7, -4, 0, -8, 0, 0, -2, 4, 49, 16, 0, 64, 0, 0, 4, 
-1, 0, 0, 9, -5, -1, -1, -3, 1, 0, 0, 81, 25, 1, 1, 9, 
-1, -3, -1, 4, 5, 0, -1, 0, 1, 9, 1, 16, 25, 0, 1, 0, 
-2, 1, -5, -21, 1, -1, -2, 0, 4, 1, 25, 441, 1, 1, 4, 0, 
0, -5, -1, 1, -5, -3, -3, -2, 0, 25, 1, 1, 25, 9, 9, 4, 
-1, 0, 1, 6, -8, -2, -1, -1, 1, 0, 1, 36, 64, 4, 1, 1, 
1, -3, -2, -4, -6, 0, -2, -1, 1, 9, 4, 16, 36, 0, 4, 1, 
-3, -8, -5, -10, 3, -3, -2, -1, 9, 64, 25, 100, 9, 9, 4, 1, 
0, 3, 0, 2, -4, 0, -2, 1, 0, 9, 0, 4, 16, 0, 4, 1, 
1, 1, -1, 8, 11, -1, 2, -1, 1, 1, 1, 64, 121, 1, 4, 1, 
0, 0, 0, -2, -2, -1, -1, -2, 0, 0, 0, 4, 4, 1, 1, 4, 
-1, -1, -2, -6, 0, 0, -1, -1, 1, 1, 4, 36, 0, 0, 1, 1, 
0, 4, 0, 2, -5, -2, -2, -2, 0, 16, 0, 4, 25, 4, 4, 4, 
-3, -5, 0, 1, 0, -2, -3, 0, 9, 25, 0, 1, 0, 4, 9, 0, 
-1, 0, 0, 3, -1, 0, -2, -1, 1, 0, 0, 9, 1, 0, 4, 1, 
-1, -2, -5, -8, -3, -2, 1, -1, 1, 4, 25, 64, 9, 4, 1, 1, 
0, 0, -2, -1, -5, -4, -2, -2, 0, 0, 4, 1, 25, 16, 4, 4, 
-2, -1, -1, 1, -1, -6, -2, -2, 4, 1, 1, 1, 1, 36, 4, 4, 
-3, -4, -1, 2, -7, 2, -2, -2, 9, 16, 1, 4, 49, 4, 4, 4, 
0, -1, 1, -2, -1, -2, 0, 0, 0, 1, 1, 4, 1, 4, 0, 0, 
-1, 1, -1, -7, 0, -1, -2, -1, 1, 1, 1, 49, 0, 1, 4, 1, 
-1, -1, -1, 9, 0, -1, 0, 0, 1, 1, 1, 81, 0, 1, 0, 0, 
-1, -2, -2, -4, -6, -2, -1, 0, 1, 4, 4, 16, 36, 4, 1, 0, 
-1, -3, 0, -3, 7, -2, 0, -1, 1, 9, 0, 9, 49, 4, 0, 1, 
-1, 1, 0, 0, -5, 1, -2, -2, 1, 1, 0, 0, 25, 1, 4, 4, 
-1, -3, 0, 0, -1, -4, -2, -1, 1, 9, 0, 0, 1, 16, 4, 1, 
0, 0, -2, -5, -2, -3, -3, -1, 0, 0, 4, 25, 4, 9, 9, 1, 
0, -1, -3, -1, 0, 1, -1, -1, 0, 1, 9, 1, 0, 1, 1, 1, 
-1, -3, -2, 1, 1, -2, 0, -1, 1, 9, 4, 1, 1, 4, 0, 1, 
0, 2, -2, -2, -1, 1, 2, -1, 0, 4, 4, 4, 1, 1, 4, 1, 
-2, -2, 0, 1, 0, -1, -2, -2, 4, 4, 0, 1, 0, 1, 4, 4, 
-1, -2, -4, -5, -3, -1, -1, -2, 1, 4, 16, 25, 9, 1, 1, 4, 
-2, 0, -1, 1, -8, -2, 0, -2, 4, 0, 1, 1, 64, 4, 0, 4, 
1, -2, -2, 0, -1, 1, -2, -2, 1, 4, 4, 0, 1, 1, 4, 4, 
0, -1, -1, -1, -1, -2, 0, -2, 0, 1, 1, 1, 1, 4, 0, 4, 
-2, -3, 0, -4, 0, 0, -3, -1, 4, 9, 0, 16, 0, 0, 9, 1, 
-1, -2, 0, 2, -3, 3, -1, -2, 1, 4, 0, 4, 9, 9, 1, 4, 
-2, -2, 0, -1, -1, -1, 1, -1, 4, 4, 0, 1, 1, 1, 1, 1, 
-1, -2, -2, -3, 0, -3, -1, -3, 1, 4, 4, 9, 0, 9, 1, 9, 
-2, 0, -1, 2, 0, -2, -1, -3, 4, 0, 1, 4, 0, 4, 1, 9, 
0, 0, -1, 0, 2, -1, -1, 0, 0, 0, 1, 0, 4, 1, 1, 0, 
0, -3, -3, -1, 1, -2, -3, -1, 0, 9, 9, 1, 1, 4, 9, 1, 
-3, -1, 1, 2, 8, 2, -2, -2, 9, 1, 1, 4, 64, 4, 4, 4, 
-3, 0, -3, -6, -18, -4, -2, -3, 9, 0, 9, 36, 324, 16, 4, 9, 
0, -1, -2, 3, 9, 0, 0, -1, 0, 1, 4, 9, 81, 0, 0, 1, 
-2, 1, 1, -1, 3, -1, 0, -1, 4, 1, 1, 1, 9, 1, 0, 1, 
0, -1, -1, -3, -4, 0, -1, 1, 0, 1, 1, 9, 16, 0, 1, 1, 
0, 1, 0, 1, 0, 1, -2, 0, 0, 1, 0, 1, 0, 1, 4, 0, 
-3, -3, -2, -3, -1, -1, -1, -1, 9, 9, 4, 9, 1, 1, 1, 1, 
-2, -2, -2, -2, -7, -1, -4, -1, 4, 4, 4, 4, 49, 1, 16, 1, 
-3, -1, -2, -2, 1, 3, 0, -2, 9, 1, 4, 4, 1, 9, 0, 4, 
0, 0, -3, -2, 1, -3, 1, 0, 0, 0, 9, 4, 1, 9, 1, 0, 
-1, -1, -2, -1, 0, -1, 0, -1, 1, 1, 4, 1, 0, 1, 0, 1, 
