4, 9, 2, 3, 18, 5, -1, 2, 16, 81, 4, 9, 324, 25, 1, 4, 
-1, 3, 5, 0, -16, -4, -1, 0, 1, 9, 25, 0, 256, 16, 1, 0, 
-1, -3, -3, -6, 28, 4, -5, -1, 1, 9, 9, 36, 784, 16, 25, 1, 
-2, -9, -9, -8, -34, -7, 1, -2, 4, 81, 81, 64, 1156, 49, 1, 4, 
2, 7, 8, 4, -2, 3, 4, 1, 4, 49, 64, 16, 4, 9, 16, 1, 
-3, -3, -3, 1, 13, -2, -4, -2, 9, 9, 9, 1, 169, 4, 16, 4, 
-1, -3, -2, 2, -22, -6, -2, -2, 1, 9, 4, 4, 484, 36, 4, 4, 
1, -4, -2, 3, 4, -2, 0, -2, 1, 16, 4, 9, 16, 4, 0, 4, 
-3, 0, 0, -3, 13, 11, 2, -1, 9, 0, 0, 9, 169, 121, 4, 1, 
-2, -3, -2, -7, -25, -5, -3, -1, 4, 9, 4, 49, 625, 25, 9, 1, 
0, 4, 3, 5, 14, 17, -3, -3, 0, 16, 9, 25, 196, 289, 9, 9, 
0, -4, -11, -10, -50, -33, 0, -2, 0, 16, 121, 100, 2500, 1089, 0, 4, 
-2, -7, -3, 0, 30, -1, -3, -2, 4, 49, 9, 0, 900, 1, 9, 4, 
1, 2, 1, 4, 7, 16, 0, 1, 1, 4, 1, 16, 49, 256, 0, 1, 
1, 12, 7, 0, -8, -10, -4, -2, 1, 144, 49, 0, 64, 100, 16, 4, 
-5, -14, 0, -6, 4, 10, 1, -2, 25, 196, 0, 36, 16, 100, 1, 4, 
0, 2, 0, -6, 0, 10, 0, 0, 0, 4, 0, 36, 0, 100, 0, 0, 
0, 4, -6, 7, 16, -8, 0, 0, 0, 16, 36, 49, 256, 64, 0, 0, 
-3, -7, -2, 0, -21, -15, -2, -3, 9, 49, 4, 0, 441, 225, 4, 9, 
-1, 29, 2, -5, -25, -26, -2, -3, 1, 841, 4, 25, 625, 676, 4, 9, 
0, -26, 5, 10, 43, 41, 3, 2, 0, 676, 25, 100, 1849, 1681, 9, 4, 
-3, -4, -10, -7, -2, 7, -6, -3, 9, 16, 100, 49, 4, 49, 36, 9, 
-2, -8, -5, 5, -11, -7, -2, 1, 4, 64, 25, 25, 121, 49, 4, 1, 
-4, -4, -9, -9, 8, 9, 2, -4, 16, 16, 81, 81, 64, 81, 4, 16, 
0, 12, 5, -13, -32, -35, -5, -2, 0, 144, 25, 169, 1024, 1225, 25, 4, 
-2, -4, 1, 3, -9, -29, -2, -1, 4, 16, 1, 9, 81, 841, 4, 1, 
1, 1, 0, 2, 53, 76, 5, 1, 1, 1, 0, 4, 2809, 5776, 25, 1, 
-2, -5, -1, -1, -7, -12, -2, -3, 4, 25, 1, 1, 49, 144, 4, 9, 
-2, 4, -4, -4, -44, -42, -6, 0, 4, 16, 16, 16, 1936, 1764, 36, 0, 
3, -1, 7, -3, 28, 23, 3, 0, 9, 1, 49, 9, 784, 529, 9, 0, 
-1, 4, -2, 2, -36, -40, -7, -1, 1, 16, 4, 4, 1296, 1600, 49, 1, 
-1, -7, -1, -4, 6, 17, -4, -3, 1, 49, 1, 16, 36, 289, 16, 9, 
