-2, -3, -1, -4, 2, 6, -10, 0, 4, 9, 1, 16, 4, 36, 100, 0, 
0, -1, -1, 2, 19, -9, -5, -4, 0, 1, 1, 4, 361, 81, 25, 16, 
-2, -3, -2, 2, -13, -5, 0, -2, 4, 9, 4, 4, 169, 25, 0, 4, 
-2, 1, -3, -5, -4, -9, -2, -1, 4, 1, 9, 25, 16, 81, 4, 1, 
-2, 2, 0, 2, 3, -4, 0, 0, 4, 4, 0, 4, 9, 16, 0, 0, 
-1, -1, -2, -2, 3, -6, -1, -1, 1, 1, 4, 4, 9, 36, 1, 1, 
1, 3, 2, 8, 7, -2, 2, 1, 1, 9, 4, 64, 49, 4, 4, 1, 
-1, -1, -2, -5, 3, 4, -3, -2, 1, 1, 4, 25, 9, 16, 9, 4, 
-2, 0, -2, -4, 9, 8, 3, -1, 4, 0, 4, 16, 81, 64, 9, 1, 
-2, -2, -2, -5, -9, -1, -2, -2, 4, 4, 4, 25, 81, 1, 4, 4, 
-1, -3, 0, 2, 9, -1, -5, 1, 1, 9, 0, 4, 81, 1, 25, 1, 
-1, 0, -1, -4, -10, -17, -1, -2, 1, 0, 1, 16, 100, 289, 1, 4, 
-2, -3, -2, -3, -9, 4, 1, -1, 4, 9, 4, 9, 81, 16, 1, 1, 
1, 2, 1, 2, 5, -1, -2, 1, 1, 4, 1, 4, 25, 1, 4, 1, 
-2, -3, -1, 3, 1, -13, -3, -3, 4, 9, 1, 9, 1, 169, 9, 9, 
-2, -1, -2, -4, 7, 13, 2, -2, 4, 1, 4, 16, 49, 169, 4, 4, 
0, -1, -3, -6, -13, -7, 1, 1, 0, 1, 9, 36, 169, 49, 1, 1, 
-1, 1, 1, 4, 6, -6, -3, -2, 1, 1, 1, 16, 36, 36, 9, 4, 
-1, -1, -2, -2, -5, -12, -2, -2, 1, 1, 4, 4, 25, 144, 4, 4, 
-1, -3, -2, -3, 3, 7, -1, -1, 1, 9, 4, 9, 9, 49, 1, 1, 
-1, -1, -1, -2, -3, 7, 1, 0, 1, 1, 1, 4, 9, 49, 1, 0, 
-1, -2, -1, 4, 9, -6, 0, -3, 1, 4, 1, 16, 81, 36, 0, 9, 
0, -1, 1, -1, -5, -5, -6, 0, 0, 1, 1, 1, 25, 25, 36, 0, 
-2, -1, -3, -3, 0, 5, -11, -2, 4, 1, 9, 9, 0, 25, 121, 4, 
-1, 0, 0, 1, 2, -18, 9, 0, 1, 0, 0, 1, 4, 324, 81, 0, 
-1, -2, -1, -7, -8, 9, 3, -1, 1, 4, 1, 49, 64, 81, 9, 1, 
-1, 0, -2, 0, 2, 5, 3, -1, 1, 0, 4, 0, 4, 25, 9, 1, 
0, -3, -1, 1, -3, -8, 1, 2, 0, 9, 1, 1, 9, 64, 1, 4, 
-1, -2, -4, -13, -40, -3, -7, -3, 1, 4, 16, 169, 1600, 9, 49, 9, 
0, 0, 1, 14, 50, 5, -2, 0, 0, 0, 1, 196, 2500, 25, 4, 0, 
-2, -2, -3, -1, -7, -6, -13, -3, 4, 4, 9, 1, 49, 36, 169, 9, 
0, 0, -1, -4, 7, 10, 16, 0, 0, 0, 1, 16, 49, 100, 256, 0, 
-1, -2, 1, 7, 15, -12, -4, -1, 1, 4, 1, 49, 225, 144, 16, 1, 
-3, -2, -4, -18, -46, -2, 2, 0, 9, 4, 16, 324, 2116, 4, 4, 0, 
0, -1, 0, 4, -1, -3, 0, -2, 0, 1, 0, 16, 1, 9, 0, 4, 
-3, -2, -3, -7, 3, 5, -4, -4, 9, 4, 9, 49, 9, 25, 16, 16, 
-1, 2, 0, 2, 10, 6, 10, 0, 1, 4, 0, 4, 100, 36, 100, 0, 
-1, -2, -2, -2, -5, -13, -21, -1, 1, 4, 4, 4, 25, 169, 441, 1, 
-3, -1, 0, -1, -2, -6, 0, 0, 9, 1, 0, 1, 4, 36, 0, 0, 
-3, -1, 0, 3, -2, -5, -5, -2, 9, 1, 0, 9, 4, 25, 25, 4, 
