-3, -7, 2, 4, 46, -6, 0, -1, 9, 49, 4, 16, 2116, 36, 0, 1, 
0, -7, -6, 5, -8, -14, -1, 0, 0, 49, 36, 25, 64, 196, 1, 0, 
-2, -1, 5, 3, -17, -29, -6, -4, 4, 1, 25, 9, 289, 841, 36, 16, 
6, 15, 8, -12, -31, -17, 6, 4, 36, 225, 64, 144, 961, 289, 36, 16, 
-4, -7, -2, -2, 19, 75, -1, -5, 16, 49, 4, 4, 361, 5625, 1, 25, 
-1, -1, -5, -7, -27, -63, -6, -2, 1, 1, 25, 49, 729, 3969, 36, 4, 
2, 3, 25, 14, 37, 5, 2, 3, 4, 9, 625, 196, 1369, 25, 4, 9, 
-2, -2, -6, -5, -25, -4, -6, -1, 4, 4, 36, 25, 625, 16, 36, 1, 
-1, -6, -12, -6, -12, -16, 1, -1, 1, 36, 144, 36, 144, 256, 1, 1, 
-2, -2, 0, 3, 28, 37, 2, -1, 4, 4, 0, 9, 784, 1369, 4, 1, 
-1, -9, -6, -21, -72, -7, -6, -4, 1, 81, 36, 441, 5184, 49, 36, 16, 
0, 6, 12, 16, 39, -59, -3, -1, 0, 36, 144, 256, 1521, 3481, 9, 1, 
0, 9, 6, 7, 17, 49, 4, 2, 0, 81, 36, 49, 289, 2401, 16, 4, 
-3, 1, 3, 5, 24, 7, -2, 0, 9, 1, 9, 25, 576, 49, 4, 0, 
-3, -11, -8, 3, 3, 0, -2, -2, 9, 121, 64, 9, 9, 0, 4, 4, 
-2, 0, 0, -15, -14, 27, 1, -1, 4, 0, 0, 225, 196, 729, 1, 1, 
-2, -5, -7, -6, -32, -25, -2, -1, 4, 25, 49, 36, 1024, 625, 4, 1, 
2, 2, 1, 4, 11, -24, -1, 1, 4, 4, 1, 16, 121, 576, 1, 1, 
-4, -13, -15, 0, 13, 2, -1, -2, 16, 169, 225, 0, 169, 4, 1, 4, 
-1, 2, 4, -8, 0, 11, 0, -1, 1, 4, 16, 64, 0, 121, 0, 1, 
1, 2, 8, 13, -1, -21, -4, 0, 1, 4, 64, 169, 1, 441, 16, 0, 
-4, -4, -8, -19, -10, 33, -1, -2, 16, 16, 64, 361, 100, 1089, 1, 4, 
0, 0, -2, 12, 15, -11, 2, -1, 0, 0, 4, 144, 225, 121, 4, 1, 
-1, 3, 7, 1, -8, 5, 2, 0, 1, 9, 49, 1, 64, 25, 4, 0, 
-1, -2, -6, -15, -17, -20, -8, 0, 1, 4, 36, 225, 289, 400, 64, 0, 
0, -3, -5, -4, 5, 10, 1, -1, 0, 9, 25, 16, 25, 100, 1, 1, 
-5, -8, -6, 12, 20, -1, -3, -2, 25, 64, 36, 144, 400, 1, 9, 4, 
-1, -2, -2, -7, -6, -7, -2, -1, 1, 4, 4, 49, 36, 49, 4, 1, 
-2, -1, -2, -1, -21, -15, -1, -2, 4, 1, 4, 1, 441, 225, 1, 4, 
-1, -2, 1, 6, 17, 9, 3, -1, 1, 4, 1, 36, 289, 81, 9, 1, 
-1, -4, -3, 1, 6, -7, -2, -2, 1, 16, 9, 1, 36, 49, 4, 4, 
-3, -2, 0, -9, -23, 5, -3, -3, 9, 4, 0, 81, 529, 25, 9, 9, 
-1, 1, -1, -8, 1, 27, 0, 1, 1, 1, 1, 64, 1, 729, 0, 1, 
-2, -1, 0, 10, 16, -14, -1, -1, 4, 1, 0, 100, 256, 196, 1, 1, 
-1, -4, -5, -3, -11, 0, -1, -1, 1, 16, 25, 9, 121, 0, 1, 1, 
-2, -1, -1, 3, 10, -14, -5, -3, 4, 1, 1, 9, 100, 196, 25, 9, 
-1, -1, -4, -5, -2, -3, -2, -2, 1, 1, 16, 25, 4, 9, 4, 4, 
0, -2, -1, -3, -13, 8, 0, -1, 0, 4, 1, 9, 169, 64, 0, 1, 
-1, -5, -6, -1, 12, -5, -2, -2, 1, 25, 36, 1, 144, 25, 4, 4, 
1, 0, 3, -3, -9, 0, 1, -1, 1, 0, 9, 9, 81, 0, 1, 1, 
-1, 1, 0, -4, -15, -6, -2, -1, 1, 1, 0, 16, 225, 36, 4, 1, 
-1, -1, -2, 3, 14, 0, -1, -1, 1, 1, 4, 9, 196, 0, 1, 1, 
-3, -3, -3, -2, -2, 3, -2, -1, 9, 9, 9, 4, 4, 9, 4, 1, 
0, 0, -1, -7, -19, 2, 0, 0, 0, 0, 1, 49, 361, 4, 0, 0, 
-1, 1, 0, 2, 7, -11, -1, -1, 1, 1, 0, 4, 49, 121, 1, 1, 
-2, 1, 0, 4, 5, 2, 0, -1, 4, 1, 0, 16, 25, 4, 0, 1, 
-2, -2, -3, -7, -3, 3, -1, -1, 4, 4, 9, 49, 9, 9, 1, 1, 
-1, 1, 2, 6, 17, 6, 2, -1, 1, 1, 4, 36, 289, 36, 4, 1, 
-1, -2, -4, -2, -12, -13, -1, 0, 1, 4, 16, 4, 144, 169, 1, 0, 
-3, 0, -1, -8, -5, -4, -2, -4, 9, 0, 1, 64, 25, 16, 4, 16, 
-1, -1, -2, 1, -1, 0, -1, -1, 1, 1, 4, 1, 1, 0, 1, 1, 
-2, -2, -2, -2, -3, 5, -2, 1, 4, 4, 4, 4, 9, 25, 4, 1, 
-1, 0, 2, 4, 3, 1, -1, -1, 1, 0, 4, 16, 9, 1, 1, 1, 
-1, -3, -3, -5, 1, -9, -1, 0, 1, 9, 9, 25, 1, 81, 1, 0, 
-3, -1, 1, 11, 13, -16, -4, -2, 9, 1, 1, 121, 169, 256, 16, 4, 
-2, -3, -4, -19, -51, 19, 2, 0, 4, 9, 16, 361, 2601, 361, 4, 0, 
-1, -2, -1, 4, 28, -10, -1, -1, 1, 4, 1, 16, 784, 100, 1, 1, 
0, -1, 0, 12, 14, 8, -3, -1, 0, 1, 0, 144, 196, 64, 9, 1, 
-2, -3, -1, -6, -18, -3, 0, 0, 4, 9, 1, 36, 324, 9, 0, 0, 
-1, 0, 0, 9, 30, -10, -3, -2, 1, 0, 0, 81, 900, 100, 9, 4, 
-1, -2, -3, -10, -33, -5, 1, 0, 1, 4, 9, 100, 1089, 25, 1, 0, 
